date,mileage,treadmill
12-10-2018,3.45,1	
12-11-2018,5.25,1
12-13-2018,5,1
12-14-2018,6.5,0
12-16-2018,5,1
12-19-2018,5,1
12-22-2018,7.8,0
12-24-2018,4.1,0
12-25-2018,4.75,0
12-27-2018,6,0
12-30-2018,8.5,0
01-01-2019,6.5,0
01-03-2019,4.25,1
01-04-2019,6.5,0
01-06-2019,9.39,0
01-08-2019,5.5,1
01-11-2019,6.5,0
01-12-2019,11.63,0
01-14-2019,6.5,0
01-16-2019,4,1
01-17-2019,4.5,0
01-19-2019,12.5,0
01-21-2019,7,1
01-24-2019,8,0
01-29-2019,9.87,0
01-31-2019,3.58,1
02-02-2019,13.03,0
02-04-2019,8,0
02-11-2019,4.5,0
02-12-2019,3.05,1
02-15-2019,6.5,0
02-16-2019,6.55,1
02-19-2019,6.42,0
02-21-2019,6.42,0
02-23-2019,12.5,0
02-26-2019,7.55,0
02-28-2019,15.71,0
03-02-2019,7,1
03-04-2019,9,0
03-06-2019,10,0
03-09-2019,13.16,0
03-11-2019,9.82,0
03-13-2019,8,1
03-15-2019,16,0
03-18-2019,6.07,0
03-20-2019,8.01,0
03-22-2019,17.02,0
03-25-2019,9.12,0
03-26-2019,9.90,0
03-28-2019,10.15,0
03-30-2019,4,1
03-31-2019,9.86,0
04-02-2019,8.02,0
04-04-2019,17.1,0
04-08-2019,9.87,0
04-10-2019,8.01,0
04-12-2019,9.97,0
04-14-2019,2.5,1
04-16-2019,9.87,0
04-18-2019,18.75,0
04-20-2019,8.38,0
04-23-2019,5.15,1
04-24-2019,5.15,1
04-25-2019,8.1,1
04-27-2019,14,0
04-28-2019,9.01,0
05-01-2019,5,1
05-02-2019,6,1
05-04-2019,20.16,0
05-07-2019,8,1
05-09-2019,9,1
05-10-2019,9,1
05-14-2019,4,1
05-15-2019,6,1
05-18-2019,8.02, 0
05-19-2019,4.11, 0
05-21-2019,3,1
05-23-2019,2,1 